Model	Go	BreadCrumb	Month	2015	2016	2017	2018	2019
 All Models								
1-series	Go	Home» European Car Sales Data» BMW» BMW 1-series 	January 	8.274 	8.883 	10.185 	11.156 	7.668 
1-series	Go	Home» European Car Sales Data» BMW» BMW 1-series 	February 	8.974 	8.211 	8.632 	9.431 	(TD) 
1-series	Go	Home» European Car Sales Data» BMW» BMW 1-series 	March 	14.167 	13.975 	17.291 	15.055 	(TD) 
1-series	Go	Home» European Car Sales Data» BMW» BMW 1-series 	April 	8.739 	10.341 	10.467 	8.152 	(TD) 
1-series	Go	Home» European Car Sales Data» BMW» BMW 1-series 	May 	9.844 	10.740 	11.957 	8.533 	(TD) 
1-series	Go	Home» European Car Sales Data» BMW» BMW 1-series 	June 	13.755 	14.065 	12.653 	12.696 	(TD) 
1-series	Go	Home» European Car Sales Data» BMW» BMW 1-series 	July 	10.491 	8.488 	8.767 	9.449 	(TD) 
1-series	Go	Home» European Car Sales Data» BMW» BMW 1-series 	August 	7.160 	7.497 	7.287 	8.110 	(TD) 
1-series	Go	Home» European Car Sales Data» BMW» BMW 1-series 	September 	15.389 	15.090 	14.873 	15.094 	(TD) 
1-series	Go	Home» European Car Sales Data» BMW» BMW 1-series 	October 	10.199 	10.576 	9.041 	9.902 	(TD) 
1-series	Go	Home» European Car Sales Data» BMW» BMW 1-series 	November 	10.246 	11.190 	12.316 	9.579 	(TD) 
1-series	Go	Home» European Car Sales Data» BMW» BMW 1-series 	December 	13.256 	(TD) 	14.490 	10.524 	(TD) 
1-series	Go	Home» European Car Sales Data» BMW» BMW 1-series 	"E87 five-door hatchback 2004–2011 
E81 three-door hatchback 2007–2011 
E82 coupe 2007–2013 
E88 convertible 2007–2014 "					
2-series Active Tourer / Gran Tourer	Go	Home» European Car Sales Data» BMW» BMW 2-seriesActive Tourer & Gran Tourer 	January 	4.114 	7.121 	7.124 	5.841 	4.178 
2-series Active Tourer / Gran Tourer	Go	Home» European Car Sales Data» BMW» BMW 2-seriesActive Tourer & Gran Tourer 	February 	5.925 	7.843 	6.008 	5.621 	(TD) 
2-series Active Tourer / Gran Tourer	Go	Home» European Car Sales Data» BMW» BMW 2-seriesActive Tourer & Gran Tourer 	March 	6.752 	11.995 	9.627 	8.663 	(TD) 
2-series Active Tourer / Gran Tourer	Go	Home» European Car Sales Data» BMW» BMW 2-seriesActive Tourer & Gran Tourer 	April 	5.137 	8.566 	7.049 	4.869 	(TD) 
2-series Active Tourer / Gran Tourer	Go	Home» European Car Sales Data» BMW» BMW 2-seriesActive Tourer & Gran Tourer 	May 	5.409 	8.756 	7.617 	5.747 	(TD) 
2-series Active Tourer / Gran Tourer	Go	Home» European Car Sales Data» BMW» BMW 2-seriesActive Tourer & Gran Tourer 	June 	8.073 	10.954 	8.885 	8.204 	(TD) 
2-series Active Tourer / Gran Tourer	Go	Home» European Car Sales Data» BMW» BMW 2-seriesActive Tourer & Gran Tourer 	July 	7.954 	6.602 	6.167 	5.719 	(TD) 
2-series Active Tourer / Gran Tourer	Go	Home» European Car Sales Data» BMW» BMW 2-seriesActive Tourer & Gran Tourer 	August 	8.640 	5.993 	4.939 	5.020 	(TD) 
2-series Active Tourer / Gran Tourer	Go	Home» European Car Sales Data» BMW» BMW 2-seriesActive Tourer & Gran Tourer 	September 	10.066 	9.277 	8.487 	6.186 	(TD) 
2-series Active Tourer / Gran Tourer	Go	Home» European Car Sales Data» BMW» BMW 2-seriesActive Tourer & Gran Tourer 	October 	7.860 	7.942 	5.857 	5.448 	(TD) 
2-series Active Tourer / Gran Tourer	Go	Home» European Car Sales Data» BMW» BMW 2-seriesActive Tourer & Gran Tourer 	November 	8.062 	7.960 	6.702 	3.657 	(TD) 
2-series Active Tourer / Gran Tourer	Go	Home» European Car Sales Data» BMW» BMW 2-seriesActive Tourer & Gran Tourer 	December 	7.742 	7.493 	6.793 	3.392 	(TD) 
2-series Coupe / Convertible	Go	Home» European Car Sales Data» BMW» BMW 2-series Coupe & Convertible 	January 	1.446 	1.764 	2.089 	2.099 	1.412 
2-series Coupe / Convertible	Go	Home» European Car Sales Data» BMW» BMW 2-series Coupe & Convertible 	February 	946 	1.737 	1.693 	2.304 	(TD) 
2-series Coupe / Convertible	Go	Home» European Car Sales Data» BMW» BMW 2-series Coupe & Convertible 	March 	2.889 	4.612 	3.997 	5.801 	(TD) 
2-series Coupe / Convertible	Go	Home» European Car Sales Data» BMW» BMW 2-series Coupe & Convertible 	April 	2.511 	3.118 	2.101 	2.315 	(TD) 
2-series Coupe / Convertible	Go	Home» European Car Sales Data» BMW» BMW 2-series Coupe & Convertible 	May 	1.900 	3.247 	2.882 	2.855 	(TD) 
2-series Coupe / Convertible	Go	Home» European Car Sales Data» BMW» BMW 2-series Coupe & Convertible 	June 	2.836 	4.060 	3.097 	3.529 	(TD) 
2-series Coupe / Convertible	Go	Home» European Car Sales Data» BMW» BMW 2-series Coupe & Convertible 	July 	2.794 	1.966 	2.245 	1.670 	(TD) 
2-series Coupe / Convertible	Go	Home» European Car Sales Data» BMW» BMW 2-series Coupe & Convertible 	August 	2.566 	1.905 	1.306 	1.496 	(TD) 
2-series Coupe / Convertible	Go	Home» European Car Sales Data» BMW» BMW 2-series Coupe & Convertible 	September 	3.552 	4.198 	3.403 	3.317 	(TD) 
2-series Coupe / Convertible	Go	Home» European Car Sales Data» BMW» BMW 2-series Coupe & Convertible 	October 	2.223 	2.366 	2.248 	2.117 	(TD) 
2-series Coupe / Convertible	Go	Home» European Car Sales Data» BMW» BMW 2-series Coupe & Convertible 	November 	1.780 	2.324 	2.228 	3.896 	(TD) 
2-series Coupe / Convertible	Go	Home» European Car Sales Data» BMW» BMW 2-series Coupe & Convertible 	December 	2.000 	2.164 	2.633 	3.870 	(TD) 
3-series	Go	Home» European Car Sales Data» BMW» BMW 3-series 	January 	9.597 	9.092 	8.423 	7.955 	6.872 
3-series	Go	Home» European Car Sales Data» BMW» BMW 3-series 	February 	10.178 	11.424 	10.083 	7.140 	(TD) 
3-series	Go	Home» European Car Sales Data» BMW» BMW 3-series 	March 	17.860 	17.785 	18.949 	13.371 	(TD) 
3-series	Go	Home» European Car Sales Data» BMW» BMW 3-series 	April 	11.926 	11.507 	10.520 	8.270 	(TD) 
3-series	Go	Home» European Car Sales Data» BMW» BMW 3-series 	May 	11.085 	12.693 	10.707 	9.001 	(TD) 
3-series	Go	Home» European Car Sales Data» BMW» BMW 3-series 	June 	12.919 	13.703 	13.414 	11.623 	(TD) 
3-series	Go	Home» European Car Sales Data» BMW» BMW 3-series 	July 	9.989 	10.946 	9.506 	8.823 	(TD) 
3-series	Go	Home» European Car Sales Data» BMW» BMW 3-series 	August 	7.450 	6.843 	7.435 	7.055 	(TD) 
3-series	Go	Home» European Car Sales Data» BMW» BMW 3-series 	September 	15.436 	15.816 	12.017 	10.085 	(TD) 
3-series	Go	Home» European Car Sales Data» BMW» BMW 3-series 	October 	12.660 	11.202 	7.684 	9.354 	(TD) 
3-series	Go	Home» European Car Sales Data» BMW» BMW 3-series 	November 	11.583 	12.423 	9.877 	8.360 	(TD) 
3-series	Go	Home» European Car Sales Data» BMW» BMW 3-series 	December 	12.340 	11.127 	10.438 	5.954 	(TD) 
3-series	Go	Home» European Car Sales Data» BMW» BMW 3-series 	"E21 1975-1981 
E30 1982-1991 
E36 1991-1998 
E46 1998-2005 
E90 2005-2012 "					
4-series	Go	Home» European Car Sales Data» BMW» BMW 4-series 	January 	4.630 	4.019 	4.194 	3.674 	2.631 
4-series	Go	Home» European Car Sales Data» BMW» BMW 4-series 	February 	4.190 	4.252 	3.803 	3.428 	(TD) 
4-series	Go	Home» European Car Sales Data» BMW» BMW 4-series 	March 	9.723 	9.413 	10.055 	7.878 	(TD) 
4-series	Go	Home» European Car Sales Data» BMW» BMW 4-series 	April 	7.353 	6.023 	5.729 	4.851 	(TD) 
4-series	Go	Home» European Car Sales Data» BMW» BMW 4-series 	May 	6.411 	6.323 	5.746 	5.522 	(TD) 
4-series	Go	Home» European Car Sales Data» BMW» BMW 4-series 	June 	6.858 	7.131 	6.680 	5.273 	(TD) 
4-series	Go	Home» European Car Sales Data» BMW» BMW 4-series 	July 	5.619 	5.039 	4.302 	3.574 	(TD) 
