Input Value Set	Model	Go	BreadCrumb	Month	2015	2016	2017	2018	2019
Test Set Name (not saved)	 All Models								
Test Set Name (not saved)	A-Class	Go		January 	9.283 	9.086 	9.139 	10.230 	14.167 
Test Set Name (not saved)	A-Class	Go		February 	6.912 	9.314 	8.701 	9.361 	(TD) 
Test Set Name (not saved)	A-Class	Go		March 	13.420 	16.845 	18.568 	17.719 	(TD) 
Test Set Name (not saved)	A-Class	Go		April 	9.865 	11.469 	12.425 	9.556 	(TD) 
Test Set Name (not saved)	A-Class	Go		May 	10.073 	12.633 	13.242 	11.629 	(TD) 
Test Set Name (not saved)	A-Class	Go		June 	11.083 	13.824 	12.931 	11.401 	(TD) 
Test Set Name (not saved)	A-Class	Go		July 	9.737 	10.357 	10.580 	10.394 	(TD) 
Test Set Name (not saved)	A-Class	Go		August 	7.403 	7.806 	8.493 	8.844 	(TD) 
Test Set Name (not saved)	A-Class	Go		September 	12.357 	16.235 	16.501 	17.453 	(TD) 
Test Set Name (not saved)	A-Class	Go		October 	9.959 	11.433 	11.630 	15.400 	(TD) 
Test Set Name (not saved)	A-Class	Go		November 	10.211 	11.400 	10.970 	16.508 	(TD) 
Test Set Name (not saved)	A-Class	Go		December 	9.172 	11.398 	10.370 	15.387 	(TD) 
Test Set Name (not saved)	AMG GT	Go		January 	49 	199 	112 	335 	346 
Test Set Name (not saved)	AMG GT	Go		February 	26 	209 	101 	215 	(TD) 
Test Set Name (not saved)	AMG GT	Go		March 	249 	404 	158 	416 	(TD) 
Test Set Name (not saved)	AMG GT	Go		April 	268 	370 	163 	468 	(TD) 
Test Set Name (not saved)	AMG GT	Go		May 	239 	237 	194 	428 	(TD) 
Test Set Name (not saved)	AMG GT	Go		June 	360 	195 	208 	401 	(TD) 
Test Set Name (not saved)	AMG GT	Go		July 	361 	153 	311 	203 	(TD) 
Test Set Name (not saved)	AMG GT	Go		August 	152 	117 	261 	338 	(TD) 
Test Set Name (not saved)	AMG GT	Go		September 	327 	154 	326 	232 	(TD) 
Test Set Name (not saved)	AMG GT	Go		October 	208 	75 	218 	179 	(TD) 
Test Set Name (not saved)	AMG GT	Go		November 	175 	138 	224 	167 	(TD) 
Test Set Name (not saved)	AMG GT	Go		December 	94 	121 	167 	187 	(TD) 
Test Set Name (not saved)	B-Class	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz B-Class	January 	6.337 	4.340 	4.511 	3.832 	2.298 
Test Set Name (not saved)	B-Class	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz B-Class	February 	6.375 	5.633 	4.881 	3.973 	(TD) 
Test Set Name (not saved)	B-Class	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz B-Class	March 	8.784 	7.584 	8.240 	6.591 	(TD) 
Test Set Name (not saved)	B-Class	Go	Home» European Car Sales Data» Mercedes-Benz» Mercedes-Benz B-Class	April 	7.503 	7.206 	6.109 	5.865 	(TD) 
