	5-series	6-series	7-series	A5 / S5 / RS5	A7 / S7 / RS7	A8 / S8	B-Class	C-Class	C-HR	E-Class	G-Class	i3	i8	Leaf	Model 3	Model S	Model X	Prius	Prius+	Q5	Q7	S-Class	X5
Jan-15	7689	423	338	2811	986	672	6337	14312	0	5242	197	649	304	104	0	420	0	635	589	4357	718	1241	2856
Feb-15	6339	298	346	302	783	500	6375	11365	0	5474	198	683	125	742	0	490	0	519	541	4231	628	129	2129
Mar-15	10346	855	515	6507	1211	799	8784	21039	0	11642	286	1154	321	344	0	1363	0	959	893	7266	1198	2077	4277
Apr-15	7878	811	392	4501	1086	668	7503	12927	0	6514	240	810	215	1019	0	726	0	523	570	5835	1089	1665	3064
May-15	6561	668	357	3812	863	429	6771	13692	0	7182	214	838	195	958	0	964	0	573	493	4839	613	153	3137
Jun-15	7062	924	336	435	981	579	7651	17388	0	85	322	789	176	1465	0	2039	0	622	562	6076	1749	1306	3753
Jul-15	7455	531	207	3981	818	557	7041	15405	0	7042	249	746	149	1037	0	108	0	498	512	5878	2376	138	2975
Aug-15	553	395	488	2501	464	347	5001	10258	0	454	147	1094	96	950	0	1037	0	384	391	3827	1812	1027	1809
Sep-15	9453	879	296	4561	954	623	7155	18736	0	9543	174	1025	183	2011	0	1039	0	995	720	6901	3226	1564	4315
Oct-15	7361	574	116	3291	739	686	6505	12552	0	6755	248	1043	88	1078	0	932	0	672	671	5854	2605	1218	3149
Nov-15	6413	509	775	2959	561	487	5385	12923	0	6688	328	1383	88	636	0	1342	0	666	581	5086	2512	1153	2954
Dec-15	6811	503	775	2908	750	370	5213	12414	0	5649	333	1637	116	927	0	2737	0	592	597	4085	2172	1132	3812
Jan-16	5198	371	845	3488	805	636	434	12319	0	5599	319	939	110	1024	0	593	0	591	524	4253	2872	1086	2738
Feb-16	603	350	815	3676	723	425	5633	10823	0	5194	281	814	109	1433	0	492	0	813	440	3706	219	1216	2281
Mar-16	9258	797	1439	5518	1104	755	7584	18961	0	11079	326	1149	222	384	0	1911	0	2239	780	7479	3551	1793	4292
Apr-16	7003	498	1273	3894	860	501	7206	14959	0	991	342	903	158	1829	0	686	0	1473	533	6438	2702	1562	3208
May-16	6876	519	1132	3782	765	423	6524	14456	0	9168	328	648	145	1235	0	511	0	1529	487	5717	267	1273	3012
Jun-16	7776	608	1523	4419	891	439	8112	16821	0	9233	468	606	131	1397	0	1679	51	1638	553	6004	3044	1677	3994
Jul-16	5979	327	997	3632	572	379	5106	14138	0	7318	358	588	125	817	0	567	47	1565	627	5749	2503	1065	2837
Aug-16	4578	262	722	2749	419	263	4652	1118	0	5894	241	1352	102	790	0	842	292	1151	514	4956	1389	829	1607
Sep-16	8732	785	1356	3867	1122	533	7333	21063	0	1089	372	2348	120	1978	0	1692	1499	204	698	7521	3509	148	4211
Oct-16	5931	427	1092	2926	695	318	5474	12766	45	8239	418	177	86	1103	0	394	301	1212	559	5813	3042	951	2887
Nov-16	7862	338	1036	0	654	353	6297	14868	2304	8807	549	2075	103	1172	0	583	376	1215	482	6266	2452	1044	2866
Dec-16	6376	450	109	2666	510	347	5507	13684	4774	8163	644	1807	106	1592	0	1614	1117	882	521	6364	3434	991	3164
Jan-17	4792	237	847	3629	511	558	4511	15104	9595	8913	425	1858	84	1518	0	787	641	1272	543	7479	2512	927	31
Feb-17	6749	295	833	3089	606	282	4881	1094	934	7539	384	1523	47	1405	0	761	345	755	488	4496	1901	962	2206
Mar-17	11274	624	1593	7639	971	521	824	23121	12848	15886	488	2014	162	3551	0	224	1635	2193	834	5037	3799	1819	4966
Apr-17	6988	280	946	5635	479	422	6109	15147	9106	10651	343	1574	93	1315	0	549	364	840	461	4253	2651	1313	2753
May-17	9847	228	1096	658	478	366	6619	16245	10226	12672	462	1676	83	1437	0	909	746	1249	536	4702	3006	1476	3088
Jun-17	11643	301	1136	6046	499	382	6379	16927	972	12296	391	1746	96	1629	0	1483	1469	1218	625	6141	3151	116	3874
Jul-17	9198	442	872	5741	398	455	491	14854	8989	10199	480	1404	62	1226	0	586	495	1048	533	7027	2095	794	2422
Aug-17	8173	167	699	3514	269	320	4028	11425	6851	6711	424	1129	47	912	0	801	521	708	522	5649	1462	963	1449
Sep-17	13593	501	1205	6072	590	481	5684	17725	9708	13096	498	2198	72	167	0	2662	2012	1402	829	7923	2893	1463	2873
Oct-17	8701	661	651	4844	428	653	4821	11951	7546	1052	485	1789	74	1096	0	831	562	935	678	5683	2244	1242	2365
Nov-17	9012	1031	827	4509	475	1084	4442	12992	7236	10909	494	2109	101	622	0	1693	996	1031	719	6142	23	1372	2699
Dec-17	9983	843	828	4321	407	363	4059	10484	7005	8246	583	199	67	451	0	2724	2091	979	611	5856	2337	1266	2846
Jan-18	9899	846	868	4868	375	376	3832	12868	11727	9909	880	1865	64	562	0	455	194	1231	714	6929	1924	1223	2881
Feb-18	7613	888	762	4341	435	528	3973	10198	8751	8223	454	1626	49	1603	0	643	289	717	614	5497	1517	1028	1835
Mar-18	11856	1389	1256	7048	1344	775	6591	18055	12533	14518	687	2278	166	6285	0	2904	1713	1588	764	8268	3321	1781	4015
Apr-18	9597	1096	842	5346	807	512	5865	13505	11914	1134	513	1892	106	3359	0	715	611	1111	768	5964	2216	1278	2326
May-18	8505	898	741	5454	970	558	6739	13016	12667	10762	397	1666	219	257	0	1083	749	1069	973	6891	2539	1367	2722
Jun-18	11112	1161	104	6713	1194	590	7438	12854	11797	1025	304	1996	279	3118	0	2334	1682	955	715	6379	268	149	4862
Jul-18	7843	805	669	5203	573	688	5993	11434	10611	8968	357	1681	117	3366	0	715	364	1026	665	7123	1959	965	1926
Aug-18	5734	566	544	4541	780	490	3061	10539	9484	7319	404	1744	94	2802	0	898	576	764	743	6528	1761	1191	1789
Sep-18	10007	913	799	205	573	330	4653	12864	1178	11219	395	2387	152	3758	0	3041	2422	1352	1057	4385	703	1106	2401
Oct-18	8737	761	711	1268	709	143	5689	12071	112	8606	630	2231	123	4049	0	625	283	951	1012	3804	1547	1125	1292
Nov-18	8222	788	657	1337	551	333	4691	1182	10693	8859	497	2377	73	4303	0	1144	871	903	954	4006	1603	960	2249
Dec-18	9533	592	663	163	624	468	2497	11771	8191	7933	553	2509	64	2965	0	2829	2354	586	781	5078	1443	859	2292
Jan-19	6507	537	484	265	891	578	2298	13084	13027	812	705	2385	170	3215	67	357	380	657	985	5399	1429	933	2751
