	5-series	6-series	7-series	A3 / S3	A4 / S4	A5 / S5	A6 / S6	A7 / S7	A8 / S8	B-class	C-class	E-class	G-class	i3	i8	Leaf	Model 3	Model S	Model X	Prius C	Prius liftback	Prius Plug-in hybrid	Q7	S-class	X5
Jan-15	3359	511	637	2383	1563	843	1202	285	306	240	6236	4336	231	670	85	107	0	225	0	2614	7316	401	880	1566	3214
Feb-15	3606	1237	572	2279	1743	831	1282	229	300	109	7072	2409	275	1089	113	1198	0	2	0	2701	707	397	1012	1413	4149
Mar-15	51	2434	732	3081	2266	1303	2328	601	461	145	7635	4489	340	922	143	1817	0	12	0	3564	9485	473	156	2065	4388
Apr-15	4294	313	1507	3187	2327	13	2139	754	387	158	6665	3466	300	406	138	1553	0	17	0	3523	8822	428	162	2021	4095
May-15	4257	351	943	3493	2785	1341	2027	838	416	278	7413	3942	302	818	117	2104	0	17	0	3763	11921	727	1823	1922	5797
Jun-15	2965	238	832	3482	2863	1101	2431	669	647	242	8316	3611	260	551	137	2074	0	17	0	2756	9559	464	163	1593	7508
Jul-15	2186	311	916	3167	2433	1105	1928	749	418	196	6384	4893	254	935	217	1174	0	17	0	3517	11203	584	1939	1414	6011
Aug-15	4012	258	90	3188	2743	1043	2022	757	441	172	7154	4006	267	792	210	1393	0	17	0	3844	1045	344	2016	2044	2803
Sep-15	4059	265	134	2712	2221	945	1713	626	441	147	766	4173	209	171	182	1247	0	17	6	3367	9952	216	1941	1956	2525
Oct-15	2693	369	618	2732	2896	845	174	736	385	81	7283	4661	303	986	149	1238	0	173	4	3373	9611	91	2106	1921	4292
Nov-15	4646	398	1045	3028	2418	1277	1582	636	364	41	7239	4751	334	723	118	1054	0	17	5	2601	8287	44	1279	1856	3965
Dec-15	2985	1461	1266	3252	3426	1	2456	841	424	97	7023	4999	541	1422	656	1347	0	36	199	2846	10153	22	1189	2163	625
Jan-16	3795	185	847	2148	1325	515	841	432	345	58	5079	2503	338	182	32	755	0	850	270	1763	6333	10	2336	1277	2584
Feb-16	2758	265	616	2183	1827	602	1064	429	218	37	6102	2362	286	248	54	930	0	155	270	2263	7169	6	1653	1558	3842
Mar-16	3157	389	850	3173	3226	784	1453	605	422	66	6658	3695	349	332	89	1246	0	399	186	2607	813	7	3004	1332	3617
Apr-16	4454	278	872	2869	2983	813	1619	543	330	56	5645	4441	392	814	130	787	0	800	795	1676	8923	4	2472	1329	3771
May-16	3264	474	1012	304	2756	818	1661	560	323	49	6954	3154	387	696	146	979	0	12	16	1909	9389	4	2663	151	4372
Jun-16	2847	284	1408	3171	2802	802	169	487	303	44	6867	3855	362	608	169	1096	0	37	2145	1355	8531	11	2613	1487	4018
Jul-16	3303	523	1203	3038	2612	744	1822	417	327	50	6304	4693	308	1479	166	1063	0	1954	750	1402	993	4	2322	1783	2744
Aug-16	2606	297	123	3032	2965	848	196	574	348	57	6125	4623	302	1013	145	1066	0	2852	1833	1459	10177	2	2347	1698	4121
Sep-16	1521	276	1201	2209	3175	746	1599	541	335	51	66	4649	251	391	158	1316	0	435	32	1459	979	4	2475	144	3749
Oct-16	1462	352	1133	1708	3864	609	1429	583	354	58	6227	3624	196	442	199	1412	0	925	725	1543	5421	0	2798	242	3885
Nov-16	1126	276	1233	2063	3143	482	1532	576	343	52	7261	4465	326	629	173	1457	0	14	900	1372	7284	781	2605	1475	4693
Dec-16	2115	348	1313	2904	4009	591	2016	811	501	54	7345	4676	453	791	133	1899	0	585	3875	1644	7786	1641	3275	1494	6245
Jan-17	749	258	545	1806	1737	304	1008	414	254	53	6453	402	322	382	50	772	0	900	750	1143	4553	1366	2411	1212	3276
Feb-17	2731	201	623	1915	2377	333	1094	471	251	56	6145	334	288	318	58	1037	0	175	800	1372	5418	1362	2477	1002	39
Mar-17	3161	330	935	2368	3876	674	1576	541	288	50	8021	451	395	703	49	1478	0	345	275	1385	5798	1618	266	1434	4896
Apr-17	3113	240	994	2104	3246	1007	1508	459	291	66	7821	3854	368	516	23	1063	0	1125	715	1161	5802	1819	3022	1491	34
May-17	3677	204	524	2116	3011	2047	1358	181	216	46	6996	3865	423	506	18	1392	0	162	173	1121	6064	1908	3048	1275	4098
Jun-17	4068	246	634	2228	3022	2374	1425	224	301	46	7116	4129	399	567	22	1506	0	235	22	867	5476	1619	3114	1169	4589
Jul-17	3713	314	822	23	2652	2255	1218	266	270	81	4899	3712	363	601	55	1283	30	1425	165	868	6034	1645	3334	147	2986
Aug-17	3587	206	550	2033	2746	2603	138	379	239	58	5304	3592	402	504	29	1154	75	215	1575	853	6043	835	3174	567	3079
Sep-17	3718	262	935	1929	2585	236	121	504	276	87	6194	4019	351	538	27	1055	115	486	312	937	5722	1899	3538	1053	3975
Oct-17	3396	374	819	1413	2576	2143	1217	465	258	59	5996	4492	208	686	33	213	145	112	850	900	4532	1626	3438	1228	4254
Nov-17	4002	351	788	1374	269	2243	134	453	217	31	6001	461	198	283	44	175	345	1335	1875	854	4787	1834	3292	1803	5515
Dec-17	4743	369	1107	2024	3916	2958	197	453	266	111	65	5284	471	672	80	102	106	4975	33	954	5401	242	4838	2184	6847
Jan-18	2456	223	362	1143	2024	1599	751	208	112	40	4419	4042	349	382	32	150	1875	800	700	811	4011	1496	2877	1569	323
Feb-18	3185	336	615	151	2331	1888	842	268	124	49	3947	4197	295	623	39	895	2485	1125	975	716	3889	205	2321	1369	4006
Mar-18	4397	471	823	1823	3296	2587	1171	367	135	33	4984	3962	360	992	47	15	382	3375	2825	814	4064	2922	3061	1627	484
Apr-18	3056	398	546	1593	3126	2169	1172	280	83	7	5148	3886	317	503	57	1171	375	125	1025	714	383	2626	3083	1535	38
May-18	3763	326	1032	17	3472	2364	1131	299	71	3	5419	3553	294	424	64	1576	6	152	145	818	476	2924	3217	1169	4145
Jun-18	4311	363	742	1962	3893	2985	309	158	51	0	5742	3366	263	580	45	1367	5902	275	255	740	4786	2237	3204	1156	4355
Jul-18	3104	328	704	2011	3433	2381	157	107	34	0	3841	2208	162	464	72	1149	1425	12	1325	704	4531	1984	2922	630	2655
Aug-18	3439	214	597	2078	3768	2732	146	111	32	1	4071	2206	201	418	67	1315	178	2625	275	773	523	2071	3682	595	2225
Sep-18	347	269	705	1759	3185	2539	95	106	14	0	4682	395	139	461	55	1563	2225	375	3975	784	437	2213	2903	684	1864
Oct-18	3729	238	559	1121	2267	1761	47	55	253	1	5581	4102	377	424	64	1234	1775	135	1225	532	3772	2001	3146	1486	1379
Nov-18	4271	266	603	813	1635	1221	1682	798	310	0	5777	5077	768	490	133	1128	1865	275	32	513	318	2312	2971	1672	5191
Dec-18	4756	330	983	792	1881	1746	3058	1095	380	1	6799	4932	445	356	97	1667	2525	325	41	480	3111	2759	403	1486	7323
Jan-19	3679	161	454	664	1691	1651	1889	620	284	1	4676	3193	427	255	23	717	65	875	950	323	154	1123	2061	886	3092
Feb-19	2976	315	851	823	1436	1603	1506	474	242	2	4812	3354	1165	350	47	654	575	800	11	0	0	0	1965	1061	436
