		Jan-15	Feb-15	Mar-15	Apr-15	May-15	Jun-15	Jul-15	Aug-15	Sep-15	Oct-15	Nov-15	Dec-15	Jan-16	Feb-16	Mar-16	Apr-16	May-16	Jun-16	Jul-16	Aug-16	Sep-16	Oct-16	Nov-16	Dec-16	Jan-17	Feb-17	Mar-17	Apr-17	May-17	Jun-17	Jul-17	Aug-17	Sep-17	Oct-17	Nov-17	Dec-17	Jan-18	Feb-18	Mar-18	Apr-18	May-18	Jun-18	Jul-18	Aug-18	Sep-18	Oct-18	Nov-18	Dec-18	Jan-19													
2015		Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Jan													
Model S		 420 	 490 	 1,363 	 726 	 964 	 2,039 	 1,080 	 1,037 	 1,039 	 932 	 1,342 	 2,737 	 593 	 492 	 2 	 686 	 511 	 2 	 567 	 842 	 2 	 394 	 583 	 2 	 787 	 761 	 2,240 	 549 	 909 	 1,483 	 586 	 801 	 2,662 	 831 	 1,693 	 2,724 	 455 	 643 	 2,904 	 715 	 1,083 	 2,334 	 715 	 898 	 3,041 	 625 	 1,144 	 2,829 	 357 													
Model X		 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 51 	 47 	 292 	 1,499 	 301 	 376 	 1,117 	 641 	 345 	 1,635 	 364 	 746 	 1,469 	 495 	 521 	 2,012 	 562 	 996 	 2,091 	 194 	 289 	 1,713 	 611 	 749 	 1,682 	 364 	 576 	 2,422 	 283 	 871 	 2,354 	 380 													
N leaf 		 1,040 	 742 	 3,440 	 1,019 	 958 	 1,465 	 1,037 	 950 	 2,011 	 1,078 	 636 	 927 	 1,024 	 1,433 	 3,840 	 1,829 	 1,235 	 1,397 	 817 	 790 	 1,978 	 1,103 	 1,172 	 1,592 	 1,518 	 1,405 	 3,551 	 1,315 	 1,437 	 1,629 	 1,226 	 912 	 1,670 	 1,096 	 622 	 451 	 562 	 1,603 	 6,285 	 3,359 	 2,57 	 3,118 	 3,366 	 2,802 	 3,758 	 4,049 	 4,303 	 2,965 	 3,215 													
BMW i3		 649 	 683 	 1,154 	 810 	 838 	 789 	 746 	 1,094 	 1,025 	 1,043 	 1,383 	 1,637 	 939 	 814 	 1,149 	 903 	 648 	 606 	 588 	 1,352 	 2,348 	 1,770 	 2,075 	 1,807 	 1,858 	 1,523 	 2,014 	 1,574 	 1,676 	 1,746 	 1,404 	 1,129 	 2,198 	 1,789 	 2,109 	 1,990 	 1,865 	 1,626 	 2,278 	 1,892 	 1,666 	 1,996 	 1,681 	 1,744 	 2,387 	 2,231 	 2,377 	 2,509 	 2,385 													
BMW i8		 304 	 125 	 321 	 215 	 195 	 176 	 149 	 96 	 183 	 88 	 88 	 116 	 110 	 109 	 222 	 158 	 145 	 131 	 125 	 102 	 120 	 86 	 103 	 106 	 84 	 47 	 162 	 93 	 83 	 96 	 62 	 47 	 72 	 74 	 101 	 67 	 64 	 49 	 166 	 106 	 219 	 279 	 117 	 94 	 152 	 123 	 73 	 64 	 170 													
Kia Soul EV		 985 	 830 	 1,538 	 1,282 	 1,024 	 1,251 	 1,316 	 1,190 	 1,689 	 2,025 	 1,461 	 1,735 	 919 	 953 	 1,462 	 1,088 	 1,356 	 1,222 	 1,033 	 985 	 1,649 	 1,103 	 820 	 1,009 	 1,080 	 1,002 	 1,196 	 917 	 747 	 1,208 	 1,186 	 968 	 1,120 	 1,157 	 1,008 	 848 	 1,250 	 635 	 1,224 	 1,447 	 867 	 898 	 776 	 1,115 	 979 	 671 	 741 	 611 	 738 													
																																																															
																																																															
US data																																																															
																																																															
2014		Jan-14	Feb-14	Mar-14	Apr-14	May-14	Jun-14	Jul-14	Aug-14	Sep-14	Oct-14	Nov-14	Dec-14	Jan-15	Feb-15	Mar-15	Apr-15	May-15	Jun-15	Jul-15	Aug-15	Sep-15	Oct-15	Nov-15	Dec-15	Jan-16	Feb-16	Mar-16	Apr-16	May-16	Jun-16	Jul-16	Aug-16	Sep-16	Oct-16	Nov-16	Dec-16	Jan-17	Feb-17	Mar-17	Apr-17	May-17	Jun-17	Jul-17	Aug-17	Sep-17	Oct-17	Nov-17	Dec-17	Jan-18	Feb-18	Mar-18	Apr-18	May-18	Jun-18	Jul-18	Aug-18	Sep-18	Oct-18	Nov-18	Dec-18	Jan-19	Feb-19
Model S		 800 	 1,089 	 1,300 	 1,100 	 1,000 	 1,500 	 800 	 600 	 2,500 	 1,300 	 1,200 	 3,500 	 1,100 	 1,150 	 2,450 	 1,700 	 2,400 	 2,800 	 1,600 	 1,300 	 2,500 	 1,900 	 2,702 	 3,600 	 850 	 1,550 	 3,990 	 800 	 1,200 	 3,700 	 2,150 	 3,125 	 4,350 	 700 	 1,900 	 5,050 	 900 	 1,750 	 3,450 	 1,125 	 1,620 	 2,350 	 1,425 	 2,150 	 4,860 	 1,120 	 1,335 	 4,975 	 800 	 1,125 	 3,375 	 1,250 	 1,520 	 2,750 	 1,200 	 2,625 	 3,750 	 1,350 	 2,750 	 3,250 	 875 	 800 
Model X		 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 270 	 270 	 1,860 	 795 	 1,600 	 2,145 	 750 	 1,850 	 3,200 	 725 	 900 	 3,875 	 750 	 800 	 2,750 	 715 	 1,730 	 2,200 	 1,650 	 1,575 	 3,120 	 850 	 1,875 	 3,300 	 700 	 975 	 2,825 	 1,025 	 1,450 	 2,550 	 1,325 	 2,750 	 3,975 	 1,225 	 3,200 	 4,100 	 950 	 1,100 
Chevy Volt		 918 	 1,210 	 1,470 	 1,548 	 1,700 	 1,777 	 2,020 	 2,510 	 1,390 	 1,439 	 1,336 	 1,490 	 542 	 693 	 639 	 905 	 1,618 	 1,225 	 1,313 	 1,380 	 949 	 2,035 	 1,980 	 2,114 	 996 	 1,126 	 1,865 	 1,983 	 1,900 	 1,937 	 2,406 	 2,081 	 2,031 	 2,191 	 2,531 	 3,691 	 1,611 	 1,820 	 2,132 	 1,807 	 1,817 	 1,745 	 1,518 	 1,445 	 1,453 	 1,362 	 1,702 	 1,937 	 713 	 983 	 1,782 	 1,325 	 1,675 	 1,336 	 1,475 	 1,825 	 2,129 	 1,475 	 2,530 	 1,058 	 675 	 615 
Chevy Bolt	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 579 	 1,162 	 952 	 978 	 1,292 	 1,566 	 1,642 	 1,971 	 2,107 	 2,632 	 2,781 	 2,987 	 3,227 	 1,177 	 1,424 	 1,774 	 1,275 	 1,125 	 1,083 	 1,175 	 1,225 	 1,549 	 1,975 	 2,825 	 1,412 	 925 	 1,225 
Ford energi		 533 	 779 	 899 	 743 	 1,342 	 1,939 	 1,226 	 1,222 	 640 	 686 	 752 	 789 	 426 	 603 	 837 	 711 	 986 	 727 	 852 	 949 	 808 	 849 	 944 	 1,058 	 581 	 932 	 1,238 	 1,331 	 1,453 	 1,700 	 1,341 	 1,422 	 1,652 	 1,372 	 1,817 	 1,099 	 606 	 837 	 1,002 	 905 	 1,000 	 707 	 703 	 762 	 763 	 741 	 731 	 875 	 640 	 794 	 782 	 742 	 740 	 604 	 522 	 396 	 480 	 453 	 1,131 	 790 	 557 	 573 
N leaf 		 1,252 	 1,425 	 2,507 	 2,088 	 3,117 	 2,347 	 3,019 	 3,186 	 2,881 	 2,589 	 2,687 	 3,102 	 1,070 	 1,198 	 1,817 	 1,553 	 2,104 	 2,074 	 1,174 	 1,393 	 1,247 	 1,238 	 1,054 	 1,347 	 755 	 930 	 1,246 	 787 	 979 	 1,096 	 1,063 	 1,066 	 1,316 	 1,412 	 1,457 	 1,899 	 772 	 1,037 	 1,478 	 1,063 	 1,392 	 1,506 	 1,283 	 1,154 	 1,055 	 213 	 175 	 102 	 150 	 895 	 1,500 	 1,171 	 1,576 	 1,367 	 1,149 	 1,315 	 1,563 	 1,234 	 1,128 	 1,667 	 717 	 654 
Total		 5,680 	 7,030 	 9,560 	 8,895 	 12,362 	 12,063 	 11,242 	 12,172 	 10,921 	 9,739 	 9,646 	 13,038 	 6,057 	 6,951 	 10,341 	 9,094 	 11,540 	 10,364 	 8,951 	 8,972 	 10,134 	 9,926 	 10,070 	 13,699 	 6,191 	 7,763 	 13,857 	 10,531 	 11,447 	 15,063 	 13,463 	 14,882 	 16,974 	 11,007 	 13,237 	 24,785 	 11,005 	 12,377 	 18,541 	 13,365 	 16,596 	 17,046 	 15,540 	 16,514 	 21,242 	 14,315 	 17,170 	 26,107 	 12,009 	 16,845 	 26,443 	 19,623 	 24,307 	 25,029 	 29,598 	 36,347 	 44,544 	 34,074 	 42,588 	 49,900 	 17,040 	 17,239 
